title,Week,start,end,theme,Instructors,pptLink,location,Reading,extra
Lecture,1,2025-02-18T19:10:00,2025-02-18T21:00:00,Overview,Hao Li && Danfeng Shan,assets/slides/01-overview-class-rules.pdf,主B-204,1,
Lecture,1,2025-02-20T19:10:00,2025-02-20T21:00:00,"Bits, Bytes, & Integers",Danfeng Shan,assets/slides/02-bits-ints.pdf,主B-204,2.1-2.3,[datalab](labs/lab1.md) out
Lecture,2,2025-02-25T19:10:00,2025-02-25T21:00:00,Machine Prog: Basics,Danfeng Shan,assets/slides/03-machine-basics.pdf,主B-204,3.1-3.3,
Lecture,2,2025-02-27T19:10:00,2025-02-27T20:00:00,Machine Prog: Basics,Danfeng Shan,assets/slides/03-machine-basics.pdf,主B-204,3.4-3.5,
Lecture,3,2025-03-04T19:10:00,2025-03-04T21:00:00,Machine Prog: Control,Danfeng Shan,assets/slides/04-machine-control.pdf,主B-204,3.7,
Lecture,3,2025-03-06T19:10:00,2025-03-06T21:00:00,Machine Prog: Procedures,Danfeng Shan,assets/slides/05-machine-procedures.pdf,主B-204,3.7,[bomblab](labs/lab2.md) out
Lab,3,2025-03-09T23:59:58,2025-03-09T23:59:59,No Lecture,,,,,[datalab](labs/lab1.md) due
Lecture,4,2025-03-11T19:10:00,2025-03-11T21:00:00,Machine Prog: Data,Danfeng Shan,assets/slides/06-machine-data.pdf,主B-204,3.8-3.9,
Lecture,4,2025-03-13T19:10:00,2025-03-13T21:00:00,Machine Prog: Advanced,Danfeng Shan,assets/slides/07-machine-advanced.pdf,主B-204,3.1,
Lecture,5,2025-03-18T19:10:00,2025-03-18T21:00:00,Machine Prog: Advanced,Danfeng Shan,assets/slides/07-machine-advanced.pdf,主B-204,3.1,[attacklab](labs/lab3.md) out
Lecture,5,2025-03-20T19:10:00,2025-03-20T21:00:00,The Memory Hierarchy,Danfeng Shan,assets/slides/08-memory-hierarchy.pdf,主B-204,6.1-6.3,
Lab,5,2025-03-23T23:59:58,2025-03-23T23:59:59,No Lecture,,,,,[bomblab](labs/lab2.md) due
Lecture,6,2025-03-25T19:10:00,2025-03-25T21:00:00,Cache Memories,Danfeng Shan,assets/slides/09-cache-memories.pdf,主B-204,6.4-6.7,
Lecture,6,2025-03-27T19:10:00,2025-03-27T21:00:00,Cache Memories,Danfeng Shan,assets/slides/09-cache-memories.pdf,主B-204,6.4-6.7,[cachelab](labs/lab4.md) out
Lab,6,2025-03-30T23:59:58,2025-03-30T23:59:59,No Lecture,,,,,[attacklab](labs/lab3.md) due
Lecture,7,2025-04-01T19:10:00,2025-04-01T21:00:00,Code Optimization,Hao Li,assets/slides/10-optimization-machine-indep.pdf,主B-204,5.1-5.6,
Lecture,7,2025-04-03T19:10:00,2025-04-03T21:00:00,,Hao Li,,主B-204,,
Lecture,8,2025-04-08T19:10:00,2025-04-08T21:00:00,,Hao Li,,主B-204,,
Lecture,8,2025-04-10T19:10:00,2025-04-10T21:00:00,,Hao Li,,主B-204,,
Lab,8,2025-04-13T23:59:58,2025-04-13T23:59:59,No Lecture,,,,,[cachelab](labs/lab4.md) due
Lecture,9,2025-04-15T19:10:00,2025-04-15T21:00:00,,Hao Li,,主B-204,,
Lecture,9,2025-04-17T19:10:00,2025-04-17T21:00:00,,Hao Li,,主B-204,,
Lecture,10,2025-04-22T19:10:00,2025-04-22T21:00:00,,Hao Li,,主B-204,,
Lecture,10,2025-04-24T19:10:00,2025-04-24T21:00:00,,Hao Li,,主B-204,,
Lecture,11,2025-04-29T19:10:00,2025-04-29T21:00:00,,Hao Li,,主B-204,,
Lecture,11,2025-05-01T19:10:00,2025-05-01T21:00:00,No Lecture (Labour Day),,,主B-204,,
Lecture,12,2025-05-06T19:40:00,2025-05-06T21:30:00,,Hao Li,,主B-204,,
Lecture,12,2025-05-08T19:40:00,2025-05-08T21:30:00,,Hao Li,,主B-204,,
Lecture,13,2025-05-13T19:40:00,2025-05-13T21:30:00,,Hao Li,,主B-204,,
Lecture,13,2025-05-15T19:40:00,2025-05-15T21:30:00,,Hao Li,,主B-204,,
Lecture,14,2025-05-20T19:40:00,2025-05-20T21:30:00,,Hao Li,,主B-204,,
Lecture,14,2025-05-22T19:40:00,2025-05-22T21:30:00,,Hao Li,,主B-204,,
Lecture,15,2025-05-27T19:40:00,2025-05-27T21:30:00,Processor Architecture,Danfeng Shan,,主B-204,4.1-4.3,
Lecture,15,2025-05-29T19:40:00,2025-05-29T21:30:00,Processor Architecture,Danfeng Shan,,主B-204,4.4-4.6,
Lecture,16,2025-06-03T19:40:00,2025-06-03T21:30:00,Exam Review,Danfeng Shan,,主B-204,,
Lecture,16,2025-06-05T19:40:00,2025-06-05T21:30:00,Exam Review,Danfeng Shan,,主B-204,,
DataLab Out,1,2025-02-20T23:59:58,2025-02-20T23:59:59,Data Lab,,labs/lab1/,,,
DataLab Due,3,2025-03-09T23:59:58,2025-03-09T23:59:59,Data Lab,,labs/lab1/,,,
BombLab Out,3,2025-03-06T23:59:58,2025-03-06T23:59:59,Bomb Lab,,labs/lab2/,,,
BombLab Due,5,2025-03-23T23:59:58,2025-03-23T23:59:59,Bomb Lab,,labs/lab2/,,,
AttackLab Out,5,2025-03-18T23:59:58,2025-03-18T23:59:59,Attack Lab,,labs/lab3,,,
AttackLab Due,6,2025-03-30T23:59:58,2025-03-30T23:59:59,Attack Lab,,labs/lab3,,,
CacheLab Out,6,2025-03-27T23:59:58,2025-03-27T23:59:59,Cache Lab,,labs/lab4,,,
CacheLab Due,8,2025-04-13T23:59:58,2025-04-13T23:59:59,Cache Lab,,labs/lab4,,,
